what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.codehaus.groovy.eclipse.ui,2.1.2.xx-20110310-1500-e36,"org.codehaus.groovy.eclipse.ui",1321638142942
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1321638142943
stopped,bundle,org.eclipse.emf.mint.ui,0.9.0.v201006142335,"org.eclipse.emf.mint.ui",1321638142995
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1321638142996
stopped,bundle,org.eclipse.acceleo.compatibility.ui,3.0.1.v201009150438,"org.eclipse.acceleo.compatibility.ui",1321638142997
stopped,bundle,org.eclipse.emf.eef.codegen,0.8.1.v201009101041,"org.eclipse.emf.eef.codegen",1321638143059
stopped,bundle,org.eclipse.acceleo.ide.ui,3.0.1.v201009150438,"org.eclipse.acceleo.ide.ui",1321638143060
stopped,bundle,de.ovgu.featureide.examples,2.5.0.201103141528,"de.ovgu.featureide.examples",1321638143116
stopped,bundle,de.ovgu.featureide.ui.ahead.refactoring,2.5.0.201103141528,"de.ovgu.featureide.ui.ahead.refactoring",1321638143118
stopped,bundle,de.ovgu.featureide.ui.ahead,2.5.0.201103141528,"de.ovgu.featureide.ui.ahead",1321638143120
stopped,bundle,de.ovgu.featureide.ui,2.5.0.201103141528,"de.ovgu.featureide.ui",1321638143120
stopped,bundle,de.ovgu.featureide.fm.ui,2.5.0.201103141528,"de.ovgu.featureide.fm.ui",1321638143120
stopped,bundle,org.eclipse.stp.sca.deployment,2.1.0.201006151053,"org.eclipse.stp.sca.deployment",1321638143121
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1321638143170
stopped,bundle,com.collabnet.subversion.merge,2.2.1,"com.collabnet.subversion.merge",1321638143170
stopped,bundle,org.tigris.subversion.subclipse.graph,1.0.9,"org.tigris.subversion.subclipse.graph",1321638143170
stopped,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1321638143170
stopped,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1321638143170
stopped,bundle,org.tigris.subversion.subclipse.ui,1.6.15,"org.tigris.subversion.subclipse.ui",1321638143170
stopped,bundle,org.eclipse.gmf.bridge.ui.dashboard,2.0.100.v20100226-2359,"org.eclipse.gmf.bridge.ui.dashboard",1321638143171
stopped,bundle,org.eclipse.gmf.doc.ui,1.3.0.v20090729-2031,"org.eclipse.gmf.doc.ui",1321638143172
stopped,bundle,org.eclipse.gmf.bridge.ui,1.2.100.v20090709-1925,"org.eclipse.gmf.bridge.ui",1321638143173
stopped,bundle,org.eclipse.gmf.bridge.trace,1.0.200.v200912151755,"org.eclipse.gmf.bridge.trace",1321638143174
stopped,bundle,org.eclipse.gmf.bridge,1.1.100.v20100309-2359,"org.eclipse.gmf.bridge",1321638143178
stopped,bundle,org.eclipse.gmf.codegen.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.codegen.edit",1321638143180
